area_code,total_pop,did_pop,area_name,did_ratio
47208,115690,113204,浦添市,97.85
47209,63554,32173,名護市,50.62
47210,61007,37403,糸満市,61.31
47211,142752,133572,沖縄市,93.57
47212,64612,45688,豊見城市,70.71
47213,125303,62071,うるま市,49.54
47214,52931,19723,宮古島市,37.26
47324,41206,18882,読谷村,45.82
47325,13521,12951,嘉手納町,95.78
47326,28201,20441,北谷町,72.48
47328,22157,9309,中城村,42.01
47329,34984,10956,西原町,31.32
47348,19695,16931,与那原町,85.97
47350,40440,31965,南風原町,79.04
47362,30941,10242,八重瀬町,33.1
