area_code,daynight_ratio,area_name
03213,102.2491,二戸市
03214,95.47334,八幡平市
03215,96.66812,奥州市
03216,86.29897,滝沢市
03301,92.92739,雫石町
03302,95.94893,葛巻町
03303,91.49138,岩手町
03321,81.557,紫波町
03322,103.96705,矢巾町
03366,98.60544,西和賀町
03381,115.83517,金ケ崎町
03402,88.24352,平泉町
03441,93.32168,住田町
03461,93.83451,大槌町
03482,92.48705,山田町
03483,102.02215,岩泉町
03484,97.74957,田野畑村
03485,94.20394,普代村
03501,93.45334,軽米町
03503,91.66064,野田村
03506,97.76641,九戸村
03507,85.68262,洋野町
03524,99.9613,一戸町
04100,106.12017,仙台市
04101,133.0866,仙台市青葉区
04102,111.03554,仙台市宮城野区
04103,102.10041,仙台市若林区
04104,82.74537,仙台市太白区
04105,90.05526,仙台市泉区
04202,102.82854,石巻市
04203,91.13256,塩竈市
04205,102.06961,気仙沼市
04206,98.38115,白石市
04207,95.36834,名取市
04208,102.17362,角田市
04209,89.17161,多賀城市
04211,99.18752,岩沼市
04212,94.63146,登米市
04213,97.63397,栗原市
04214,85.88968,東松島市
04215,97.4466,大崎市
04301,98.28678,蔵王町
04302,100.8898,七ヶ宿町
04321,94.08774,大河原町
04322,99.93044,村田町
04323,91.25617,柴田町
04324,90.57489,川崎町
04341,88.09047,丸森町
04361,83.24451,亘理町
04362,94.77873,山元町
04401,87.5182,松島町
04404,68.59854,七ヶ浜町
04406,84.18585,利府町
04421,113.86843,大和町
04422,95.84229,大郷町
04423,77.21114,富谷町
04424,173.78573,大衡村
04444,90.45316,色麻町
04445,95.14804,加美町
04501,91.80887,涌谷町
04505,85.88444,美里町
04581,129.19166,女川町
04606,104.70493,南三陸町
05201,104.35288,秋田市
05202,104.58798,能代市
05203,101.807,横手市
05204,101.52747,大館市
05206,94.48458,男鹿市
05207,100.87958,湯沢市
05209,97.03789,鹿角市
05210,98.43482,由利本荘市
05211,82.21141,潟上市
05212,99.05536,大仙市
05213,98.7509,北秋田市
05214,97.41747,にかほ市
05215,98.6048,仙北市
05303,108.85934,小坂町
05327,90.63419,上小阿仁村
05346,84.60851,藤里町
05348,87.73276,三種町
05349,87.50855,八峰町
05361,93.15228,五城目町
05363,84.93421,八郎潟町
05366,89.73125,井川町
05368,116.20579,大潟村
05434,85.23103,美郷町
05463,88.71989,羽後町
05464,81.26437,東成瀬村
06201,106.78559,山形市
06202,106.87352,米沢市
06203,100.55302,鶴岡市
06204,103.93528,酒田市
06205,110.75514,新庄市
06206,98.54082,寒河江市
06207,92.57183,上山市
06208,95.68141,村山市
06209,102.90737,長井市
06210,97.39846,天童市
06211,102.10183,東根市
06212,96.69085,尾花沢市
06213,93.52641,南陽市
06301,75.49586,山辺町
06302,72.98249,中山町
06321,92.00612,河北町
06322,85.77005,西川町
06323,86.88018,朝日町
06324,89.7899,大江町
06341,83.97445,大石田町
06361,81.31755,金山町
06362,90.47405,最上町
06363,86.50329,舟形町
06364,87.46467,真室川町
06365,82.09261,大蔵村
06366,88.64953,鮭川村
06367,81.66771,戸沢村
06381,88.09145,高畠町
06382,93.3528,川西町
06401,100.41942,小国町
06402,88.31746,白鷹町
06403,89.63582,飯豊町
06426,110.06729,三川町
06428,83.82258,庄内町
06461,82.57197,遊佐町
07201,103.18712,福島市
07202,105.71811,会津若松市
07203,105.07328,郡山市
07204,98.32913,いわき市
07205,101.61678,白河市
07207,93.68681,須賀川市
07208,94.59262,喜多方市
07209,98.58388,相馬市
07210,93.89292,二本松市
07211,89.37485,田村市
07212,104.05903,南相馬市
07213,89.03846,伊達市
07214,100.92808,本宮市
07301,91.24766,桑折町
07303,87.1741,国見町
07308,103.29366,川俣町
07322,78.86853,大玉村
07342,93.20839,鏡石町
07344,89.30672,天栄村
07362,91.62069,下郷町
07364,104.55285,檜枝岐村
07367,100.13423,只見町
07368,99.69257,南会津町
07402,96.22042,北塩原村
07405,94.21149,西会津町
07407,126.06873,磐梯町
07408,91.58077,猪苗代町
07421,93.0933,会津坂下町
07422,81.2539,湯川村
07423,91.23303,柳津町
07444,101.13909,三島町
07445,106.1672,金山町
07446,100.5295,昭和村
07447,81.0405,会津美里町
07461,99.22744,西郷村
07464,113.24095,泉崎村
07465,87.86243,中島村
07466,102.00921,矢吹町
07481,99.44036,棚倉町
07482,95.34454,矢祭町
07483,95.45703,塙町
07484,85.3229,鮫川村
07501,98.61461,石川町
07502,89.34632,玉川村
07503,87.6249,平田村
07504,84.62825,浅川町
07505,87.77219,古殿町
07521,86.35271,三春町
07522,91.19809,小野町
07541,125.0984,広野町
07542,307.89744,楢葉町
07544,93.96338,川内村
07548,5438.88889,葛尾村
07561,91.57946,新地町
07564,7917.07317,飯舘村
08201,111.34857,水戸市
08202,107.40216,日立市
08203,109.8939,土浦市
08204,93.44643,古河市
08205,91.64694,石岡市
08207,93.18913,結城市
08208,88.33321,龍ケ崎市
08210,98.5448,下妻市
08211,104.05153,常総市
08212,83.51627,常陸太田市
08214,93.15743,高萩市
08215,91.67117,北茨城市
08216,89.58548,笠間市
08217,87.06859,取手市
08219,84.90221,牛久市
08220,107.57877,つくば市
08221,96.53026,ひたちなか市
08222,106.65596,鹿嶋市
08223,85.97437,潮来市
08224,82.79925,守谷市
08225,94.45136,常陸大宮市
08226,86.7271,那珂市
08227,95.59542,筑西市
08228,93.64173,坂東市
08229,94.24667,稲敷市
08230,85.48414,かすみがうら市
08231,89.9864,桜川市
08232,105.7394,神栖市
08233,91.30597,行方市
08234,91.61111,鉾田市
08235,86.64116,つくばみらい市
08236,97.42688,小美玉市
08302,92.05978,茨城町
08309,100.54483,大洗町
08310,75.90404,城里町
08341,99.02156,東海村
08364,94.08962,大子町
08442,93.67504,美浦村
08443,93.25129,阿見町
08447,77.55236,河内町
08521,89.65079,八千代町
08542,139.13043,五霞町
08546,98.4215,境町
08564,74.62147,利根町
09201,103.68573,宇都宮市
09202,97.05591,足利市
09203,96.4412,栃木市
09204,99.50134,佐野市
09205,98.17635,鹿沼市
09206,94.72214,日光市
09208,100.07316,小山市
09209,99.69952,真岡市
09210,104.93659,大田原市
09211,96.08443,矢板市
09213,94.65624,那須塩原市
09214,93.77074,さくら市
09215,94.23966,那須烏山市
09216,88.70791,下野市
09301,100.60233,上三川町
09342,82.32464,益子町
09343,88.26206,茂木町
09344,88.02048,市貝町
09345,193.8969,芳賀町
09361,92.16791,壬生町
09364,84.46149,野木町
09384,83.0535,塩谷町
09386,85.11083,高根沢町
09407,105.57807,那須町
09411,90.30299,那珂川町
10201,104.54137,前橋市
10202,101.82591,高崎市
10203,98.10398,桐生市
10204,98.21851,伊勢崎市
10205,107.22406,太田市
10206,97.54088,沼田市
10207,98.54957,館林市
10208,96.34014,渋川市
10209,94.27771,藤岡市
10210,101.24231,富岡市
10211,92.77819,安中市
10212,88.19393,みどり市
10344,80.14516,榛東村
10345,76.28558,吉岡町
10366,102.76423,上野村
10367,108.90481,神流町
10382,94.50026,下仁田町
10383,88.17585,南牧村
10384,85.34091,甘楽町
10421,94.89614,中之条町
10424,112.93353,長野原町
10425,98.19018,嬬恋村
10426,107.42559,草津町
10428,83.53293,高山村
10429,97.52013,東吾妻町
10443,96.44647,片品村
10444,99.42418,川場村
10448,97.55002,昭和村
10449,94.59348,みなかみ町
10464,87.52933,玉村町
10521,97.1695,板倉町
10522,108.52046,明和町
10523,110.24916,千代田町
10524,101.40284,大泉町
10525,92.11004,邑楽町
11100,93.00621,さいたま市
11101,87.33619,さいたま市西区
11102,90.42148,さいたま市北区
11103,140.82238,さいたま市大宮区
11104,81.50654,さいたま市見沼区
11105,98.58245,さいたま市中央区
11106,85.66643,さいたま市桜区
11107,99.99547,さいたま市浦和区
11108,75.33472,さいたま市南区
11109,80.30586,さいたま市緑区
11110,102.43167,さいたま市岩槻区
11201,96.55533,川越市
11202,97.90482,熊谷市
11203,81.95263,川口市
11206,89.82256,行田市
11207,96.03808,秩父市
11208,86.13662,所沢市
11209,89.26594,飯能市
11210,92.55718,加須市
11211,102.80428,本庄市
11212,100.32153,東松山市
11214,82.84768,春日部市
11215,94.88993,狭山市
11216,97.03867,羽生市
11217,79.94444,鴻巣市
11218,94.08807,深谷市
11219,82.68708,上尾市
11221,84.01718,草加市
11222,87.32348,越谷市
11223,83.20786,蕨市
11224,91.31546,戸田市
11225,86.47011,入間市
11227,82.5516,朝霞市
11228,79.09764,志木市
11229,87.30978,和光市
11230,85.73482,新座市
11231,84.35268,桶川市
11232,90.48066,久喜市
11233,80.06201,北本市
11234,96.21182,八潮市
11235,73.99123,富士見市
11237,88.43694,三郷市
11238,82.88394,蓮田市
11239,92.40846,坂戸市
11240,86.30912,幸手市
11241,80.72735,鶴ヶ島市
11242,95.38393,日高市
11243,80.0955,吉川市
11245,82.37632,ふじみ野市
11246,77.26594,白岡市
11301,98.85919,伊奈町
11324,117.17287,三芳町
11326,92.83434,毛呂山町
11327,88.53704,越生町
11341,98.93477,滑川町
11342,102.46988,嵐山町
11343,82.12842,小川町
11346,103.05946,川島町
