school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
旭川工業高校,49,道立,共学,工業化学,旭川市,hokkaido,北海道,01204,100.62632
旭川工業高校,49,道立,共学,情報技術,旭川市,hokkaido,北海道,01204,100.62632
旭川工業高校,49,道立,共学,電気,旭川市,hokkaido,北海道,01204,100.62632
旭川工業高校,49,道立,共学,電子機械,旭川市,hokkaido,北海道,01204,100.62632
旭川工業高校,49,道立,共学,土木,旭川市,hokkaido,北海道,01204,100.62632
釧路明輝高校,49,道立,共学,総合,釧路市,hokkaido,北海道,01206,100.56712
江差高校,49,道立,共学,普通,檜山郡江差町,hokkaido,北海道,,
札幌英藍高校,49,道立,共学,普通,札幌市北区,hokkaido,北海道,01102,95.93896
札幌西陵高校,49,道立,共学,普通,札幌市西区,hokkaido,北海道,01107,89.47785
札幌東陵高校,49,道立,共学,普通,札幌市東区,hokkaido,北海道,01103,94.61155
小樽桜陽高校,49,道立,共学,普通,小樽市,hokkaido,北海道,01203,101.94301
函館工業高校,49,道立,共学,環境土木,函館市,hokkaido,北海道,01202,102.79308
函館工業高校,49,道立,共学,建築,函館市,hokkaido,北海道,01202,102.79308
函館工業高校,49,道立,共学,工業化学,函館市,hokkaido,北海道,01202,102.79308
函館工業高校,49,道立,共学,電気情報工学,函館市,hokkaido,北海道,01202,102.79308
函館工業高校,49,道立,共学,電子機械,函館市,hokkaido,北海道,01202,102.79308
函館商業高校,49,道立,共学,会計ビジネス,函館市,hokkaido,北海道,01202,102.79308
函館商業高校,49,道立,共学,国際経済,函館市,hokkaido,北海道,01202,102.79308
函館商業高校,49,道立,共学,情報処理,函館市,hokkaido,北海道,01202,102.79308
函館商業高校,49,道立,共学,流通ビジネス,函館市,hokkaido,北海道,01202,102.79308
恵庭北高校,48,道立,共学,普通,恵庭市,hokkaido,北海道,01231,94.57117
根室高校,48,道立,共学,普通,根室市,hokkaido,北海道,01223,100.55355
室蘭東翔高校,48,道立,共学,総合,室蘭市,hokkaido,北海道,01205,109.37288
深川西高校,48,道立,共学,普通,深川市,hokkaido,北海道,01228,101.2415
千歳高校,48,道立,共学,国際流通,千歳市,hokkaido,北海道,01224,103.6488
天塩高校,48,道立,共学,普通,天塩郡天塩町,hokkaido,北海道,,
苫小牧工業高校,48,道立,共学,電気,苫小牧市,hokkaido,北海道,01213,100.23967
